12346,Alice Smith,London,Premium
12347,Bob Johnson,Paris,Basic
12348,Charlie Brown,Berlin,Premium
12349,David Jones,Madrid,Standard
12350,Eve Davis,Rome,Premium
17850,Frank Miller,London,Premium
13047,Grace Taylor,Manchester,Basic
12583,Heidi Wilson,Paris,Premium
14688,Ivan Moore,London,Standard
15311,Judy Clark,Berlin,Premium
14527,Kevin King,London,Standard
16029,Laura White,Paris,Basic
17420,Mike Scott,Rome,Premium
12431,Nancy Green,Madrid,Premium
12791,Oscar Adams,Berlin,Basic
13237,Pat Baker,London,Premium
15291,Quinn Hall,Paris,Standard
13767,Rachel Allen,Manchester,Premium
14110,Steve Young,Rome,Standard
14646,Tom Wright,Berlin,Premium
